<MATCH_ID> 33671 <TEAM> Top Volley Cisterna <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33671 <TEAM> Top Volley Cisterna <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33671 <TEAM> Top Volley Cisterna <SET> 2 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 34495 <TEAM> NBV Verona <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 34495 <TEAM> NBV Verona <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33743 <TEAM> Allianz Milano <SET> 0 <VALUE> 5 <PERM> ('MB', 'S', 'OH', 'MB', 'O', 'OH')
<MATCH_ID> 33690 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33690 <TEAM> Sir Safety Conad Perugia <SET> 1 <VALUE> 5 <PERM> ('O', 'OH', 'MB', 'S', 'OH', 'MB')
<MATCH_ID> 33690 <TEAM> Sir Safety Conad Perugia <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33723 <TEAM> NBV Verona <SET> 0 <VALUE> 5 <PERM> ('MB', 'S', 'OH', 'MB', 'O', 'OH')
<MATCH_ID> 33723 <TEAM> NBV Verona <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33723 <TEAM> NBV Verona <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33723 <TEAM> NBV Verona <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33754 <TEAM> Top Volley Cisterna <SET> 0 <VALUE> 5 <PERM> ('MB', 'S', 'OH', 'MB', 'O', 'OH')
<MATCH_ID> 33754 <TEAM> Top Volley Cisterna <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33754 <TEAM> Top Volley Cisterna <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33754 <TEAM> Top Volley Cisterna <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33717 <TEAM> Top Volley Cisterna <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33717 <TEAM> Top Volley Cisterna <SET> 1 <VALUE> 5 <PERM> ('MB', 'S', 'OH', 'MB', 'O', 'OH')
<MATCH_ID> 33717 <TEAM> Top Volley Cisterna <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33749 <TEAM> Allianz Milano <SET> 1 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 33749 <TEAM> Allianz Milano <SET> 2 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 33749 <TEAM> Allianz Milano <SET> 3 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
