<MATCH_ID> 1102246 <TEAM> Trefl Gdańsk <SET> 2 <VALUE> 5 <PERM> ('MB', 'S', 'OH', 'MB', 'O', 'OH')
<MATCH_ID> 1102247 <TEAM> PSG Stal Nysa <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 1102247 <TEAM> PSG Stal Nysa <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 1102247 <TEAM> PSG Stal Nysa <SET> 2 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 1102247 <TEAM> PSG Stal Nysa <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 1102249 <TEAM> Aluron CMC Warta Zawiercie <SET> 0 <VALUE> 4 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 1102249 <TEAM> Aluron CMC Warta Zawiercie <SET> 1 <VALUE> 4 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 1102249 <TEAM> Aluron CMC Warta Zawiercie <SET> 2 <VALUE> 4 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 1102249 <TEAM> Aluron CMC Warta Zawiercie <SET> 3 <VALUE> 4 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 1102260 <TEAM> PSG Stal Nysa <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 1102260 <TEAM> PSG Stal Nysa <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 1102260 <TEAM> PSG Stal Nysa <SET> 4 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 1102269 <TEAM> Trefl Gdańsk <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 1102269 <TEAM> Trefl Gdańsk <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 1102269 <TEAM> Trefl Gdańsk <SET> 4 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 1102293 <TEAM> PSG Stal Nysa <SET> 2 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 1102295 <TEAM> PSG Stal Nysa <SET> 2 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 1102329 <TEAM> BBTS Bielsko-Biała <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 1102335 <TEAM> PSG Stal Nysa <SET> 4 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 1102338 <TEAM> Aluron CMC Warta Zawiercie <SET> 0 <VALUE> 5 <PERM> ('MB', 'S', 'OH', 'MB', 'O', 'OH')
<MATCH_ID> 1102347 <TEAM> PSG Stal Nysa <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
